Date and Time,Location Code,Energy kWh
5/1/22 8:00,CWSS_BLK-I,3.48
5/1/22 8:00,CWSS_BLK-CDE,5.15
5/1/22 8:00,CWSS_BLK-B,5.02
5/1/22 9:00,CWSS_BLK-CDE,33.22
5/1/22 9:00,CWSS_BLK-B,30.75
5/1/22 9:00,CWSS_BLK-I,18.85
5/1/22 9:00,CWSS_BLK-A,33.54
5/1/22 10:00,CWSS_BLK-A,57.98
5/1/22 10:00,CWSS_BLK-CDE,55.17
5/1/22 10:00,CWSS_BLK-B,51.26
5/1/22 10:00,CWSS_BLK-I,31.87
5/1/22 11:00,CWSS_BLK-I,52.42
5/1/22 11:00,CWSS_BLK-B,76.16
5/1/22 11:00,CWSS_BLK-A,87.17
5/1/22 11:00,CWSS_BLK-CDE,83.45
5/1/22 12:00,CWSS_BLK-I,70.37
5/1/22 12:00,CWSS_BLK-A,113.6
5/1/22 12:00,CWSS_BLK-CDE,108.16
5/1/22 12:00,CWSS_BLK-B,98.11
5/1/22 13:00,CWSS_BLK-CDE,119.93
5/1/22 13:00,CWSS_BLK-I,79.96
5/1/22 13:00,CWSS_BLK-B,108.64
5/1/22 13:00,CWSS_BLK-A,125.72
5/1/22 14:00,CWSS_BLK-CDE,108.92
5/1/22 14:00,CWSS_BLK-B,96.29
5/1/22 14:00,CWSS_BLK-I,72.42
5/1/22 14:00,CWSS_BLK-A,112.64
5/1/22 15:00,CWSS_BLK-A,78.34
5/1/22 15:00,CWSS_BLK-CDE,73.02
5/1/22 15:00,CWSS_BLK-B,67.54
5/1/22 15:00,CWSS_BLK-I,50.88
5/1/22 16:00,CWSS_BLK-A,75.74
5/1/22 16:00,CWSS_BLK-CDE,72.57
5/1/22 16:00,CWSS_BLK-I,49.61
5/1/22 16:00,CWSS_BLK-B,64.93
5/1/22 17:00,CWSS_BLK-CDE,63.82
5/1/22 17:00,CWSS_BLK-I,46.02
5/1/22 17:00,CWSS_BLK-A,65.7
5/1/22 17:00,CWSS_BLK-B,57.08
5/1/22 18:00,CWSS_BLK-CDE,52.83
5/1/22 18:00,CWSS_BLK-A,52.44
5/1/22 18:00,CWSS_BLK-I,38.92
5/1/22 18:00,CWSS_BLK-B,43.52
5/1/22 19:00,CWSS_BLK-A,12.09
5/1/22 19:00,CWSS_BLK-B,9.98
5/1/22 19:00,CWSS_BLK-CDE,12.18
5/1/22 19:00,CWSS_BLK-I,10.14
5/1/22 20:00,CWSS_BLK-A,0.16
5/1/22 20:00,CWSS_BLK-B,0.16
5/1/22 20:00,CWSS_BLK-I,0.1
5/1/22 20:00,CWSS_BLK-CDE,0.16
6/1/22 1:00,CWSS_BLK-B,0
6/1/22 1:00,CWSS_BLK-I,0
6/1/22 1:00,CWSS_BLK-A,0
6/1/22 1:00,CWSS_BLK-CDE,0
6/1/22 2:00,CWSS_BLK-I,0.03
6/1/22 2:00,CWSS_BLK-B,0
6/1/22 2:00,CWSS_BLK-A,0
6/1/22 2:00,CWSS_BLK-CDE,0
6/1/22 3:00,CWSS_BLK-A,0
6/1/22 3:00,CWSS_BLK-B,0
6/1/22 3:00,CWSS_BLK-I,0
6/1/22 3:00,CWSS_BLK-CDE,0
6/1/22 4:00,CWSS_BLK-I,0
6/1/22 4:00,CWSS_BLK-B,0
6/1/22 4:00,CWSS_BLK-A,0
6/1/22 4:00,CWSS_BLK-CDE,0
6/1/22 5:00,CWSS_BLK-CDE,0
6/1/22 5:00,CWSS_BLK-A,0
6/1/22 5:00,CWSS_BLK-B,0
6/1/22 5:00,CWSS_BLK-I,0.03
6/1/22 6:00,CWSS_BLK-A,0
6/1/22 6:00,CWSS_BLK-I,0
6/1/22 6:00,CWSS_BLK-B,0
6/1/22 6:00,CWSS_BLK-CDE,0
6/1/22 7:00,CWSS_BLK-B,0
6/1/22 7:00,CWSS_BLK-CDE,0
6/1/22 7:00,CWSS_BLK-I,0
6/1/22 7:00,CWSS_BLK-A,0
6/1/22 8:00,CWSS_BLK-CDE,3.32
6/1/22 8:00,CWSS_BLK-A,3.55
6/1/22 8:00,CWSS_BLK-I,1.83
6/1/22 8:00,CWSS_BLK-B,3.17
6/1/22 9:00,CWSS_BLK-A,22.53
6/1/22 9:00,CWSS_BLK-I,10.02
6/1/22 9:00,CWSS_BLK-B,21.69
6/1/22 9:00,CWSS_BLK-CDE,23.72
6/1/22 10:00,CWSS_BLK-B,52.48
6/1/22 10:00,CWSS_BLK-I,31.78
6/1/22 10:00,CWSS_BLK-A,60.03
6/1/22 10:00,CWSS_BLK-CDE,58.25
6/1/22 11:00,CWSS_BLK-I,58.98
6/1/22 11:00,CWSS_BLK-A,98.08
6/1/22 11:00,CWSS_BLK-B,85.18
6/1/22 11:00,CWSS_BLK-CDE,94.34
6/1/22 12:00,CWSS_BLK-CDE,93.21
6/1/22 12:00,CWSS_BLK-I,60.19
6/1/22 12:00,CWSS_BLK-B,84.68
6/1/22 12:00,CWSS_BLK-A,98.05
6/1/22 13:00,CWSS_BLK-B,105.54
6/1/22 13:00,CWSS_BLK-A,119.51
6/1/22 13:00,CWSS_BLK-I,77.7
6/1/22 13:00,CWSS_BLK-CDE,112.64
6/1/22 14:00,CWSS_BLK-CDE,97.12
6/1/22 14:00,CWSS_BLK-B,90.62
6/1/22 14:00,CWSS_BLK-A,104.19
6/1/22 14:00,CWSS_BLK-I,67.84
6/1/22 15:00,CWSS_BLK-CDE,94.02
6/1/22 15:00,CWSS_BLK-B,84.66
6/1/22 15:00,CWSS_BLK-A,97.95
6/1/22 15:00,CWSS_BLK-I,64.27
6/1/22 16:00,CWSS_BLK-CDE,112.36
6/1/22 16:00,CWSS_BLK-I,76.82
6/1/22 16:00,CWSS_BLK-B,96.77
6/1/22 16:00,CWSS_BLK-A,115.36
6/1/22 17:00,CWSS_BLK-CDE,13.31
6/1/22 17:00,CWSS_BLK-A,14.69
6/1/22 17:00,CWSS_BLK-I,9.41
6/1/22 17:00,CWSS_BLK-B,12.71
6/1/22 18:00,CWSS_BLK-CDE,7.68
6/1/22 18:00,CWSS_BLK-I,5.5
6/1/22 18:00,CWSS_BLK-B,7.52
6/1/22 18:00,CWSS_BLK-A,8.32
6/1/22 19:00,CWSS_BLK-CDE,3.49
6/1/22 19:00,CWSS_BLK-A,3.56
6/1/22 19:00,CWSS_BLK-B,3.04
6/1/22 19:00,CWSS_BLK-I,2.5
6/1/22 20:00,CWSS_BLK-B,0.22
6/1/22 20:00,CWSS_BLK-A,0.22
6/1/22 20:00,CWSS_BLK-CDE,0.19
6/1/22 20:00,CWSS_BLK-I,0.16
7/1/22 1:00,CWSS_BLK-B,0
7/1/22 1:00,CWSS_BLK-I,0
7/1/22 1:00,CWSS_BLK-CDE,0
7/1/22 1:00,CWSS_BLK-A,0
7/1/22 2:00,CWSS_BLK-CDE,0
7/1/22 2:00,CWSS_BLK-I,0.03
7/1/22 2:00,CWSS_BLK-B,0
7/1/22 2:00,CWSS_BLK-A,0
7/1/22 3:00,CWSS_BLK-I,0
7/1/22 3:00,CWSS_BLK-A,0.03
7/1/22 3:00,CWSS_BLK-CDE,0
7/1/22 3:00,CWSS_BLK-B,0
7/1/22 4:00,CWSS_BLK-I,0
7/1/22 4:00,CWSS_BLK-CDE,0
7/1/22 4:00,CWSS_BLK-A,0
7/1/22 4:00,CWSS_BLK-B,0
7/1/22 5:00,CWSS_BLK-A,0
7/1/22 5:00,CWSS_BLK-I,0
7/1/22 5:00,CWSS_BLK-B,0
7/1/22 5:00,CWSS_BLK-CDE,0
7/1/22 6:00,CWSS_BLK-A,0
7/1/22 6:00,CWSS_BLK-CDE,0
7/1/22 6:00,CWSS_BLK-I,0
7/1/22 6:00,CWSS_BLK-B,0
7/1/22 7:00,CWSS_BLK-CDE,0
7/1/22 7:00,CWSS_BLK-I,0.03
7/1/22 7:00,CWSS_BLK-A,0
7/1/22 7:00,CWSS_BLK-B,0
7/1/22 8:00,CWSS_BLK-CDE,3.32
7/1/22 8:00,CWSS_BLK-I,1.98
7/1/22 8:00,CWSS_BLK-B,3.29
7/1/22 8:00,CWSS_BLK-A,3.55
7/1/22 9:00,CWSS_BLK-A,27.14
7/1/22 9:00,CWSS_BLK-I,11.81
7/1/22 9:00,CWSS_BLK-CDE,27.37
7/1/22 9:00,CWSS_BLK-B,25.4
7/1/22 10:00,CWSS_BLK-B,46.56
7/1/22 10:00,CWSS_BLK-A,51.91
7/1/22 10:00,CWSS_BLK-I,29.05
7/1/22 10:00,CWSS_BLK-CDE,49.83
7/1/22 11:00,CWSS_BLK-A,69.64
7/1/22 11:00,CWSS_BLK-B,61.32
7/1/22 11:00,CWSS_BLK-I,42.69
7/1/22 11:00,CWSS_BLK-CDE,66.84
7/1/22 12:00,CWSS_BLK-CDE,80.33
7/1/22 12:00,CWSS_BLK-I,50.97
7/1/22 12:00,CWSS_BLK-A,84.73
7/1/22 12:00,CWSS_BLK-B,70.98
7/1/22 13:00,CWSS_BLK-CDE,93.35
7/1/22 13:00,CWSS_BLK-A,99.9
7/1/22 13:00,CWSS_BLK-I,63.07
7/1/22 13:00,CWSS_BLK-B,83.58
7/1/22 14:00,CWSS_BLK-I,46.02
7/1/22 14:00,CWSS_BLK-A,72.58
7/1/22 14:00,CWSS_BLK-CDE,69.51
7/1/22 14:00,CWSS_BLK-B,60.48
7/1/22 15:00,CWSS_BLK-I,32.93
7/1/22 15:00,CWSS_BLK-A,48.35
7/1/22 15:00,CWSS_BLK-B,43.84
7/1/22 15:00,CWSS_BLK-CDE,44.24
7/1/22 16:00,CWSS_BLK-A,36.26
7/1/22 16:00,CWSS_BLK-B,30.97
7/1/22 16:00,CWSS_BLK-CDE,34.18
7/1/22 16:00,CWSS_BLK-I,23.61
7/1/22 17:00,CWSS_BLK-A,9.31
7/1/22 17:00,CWSS_BLK-I,6.08
7/1/22 17:00,CWSS_BLK-B,8.13
7/1/22 17:00,CWSS_BLK-CDE,8.83
7/1/22 18:00,CWSS_BLK-B,5.87
7/1/22 18:00,CWSS_BLK-I,4.32
